snapshot,source_file,source_sha256,page,sl_no,project_code,legacy_ocms_code,pmgid,project_name,agency_raw,table_section,state,approval_month,start_month,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cum_cr,physical_progress_pct,parse_flags
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,12,612788,,,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Karnataka,2023-06,2024-02,2026-01,2026-04,322.45,322.45,152.09,67.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,13,612789,,,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Kerala,2023-06,2024-02,2025-09,2026-06,484.57,484.57,116.14,31.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,14,400010,,,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Ladakh,2018-07,2018-09,2021-09,2026-07,480.0,640.0,484.6,78.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,15,706718,,,C/o NITB Imphal Airport,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Manipur,2021-11,2022-07,2024-07,2026-12,499.0,499.0,160.06,42.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,16,611570,,,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",2020-12,2022-10,2025-09,2026-08,500.48,500.48,348.09,76.0,NO_LEGACY_CODE;NO_PMGID;MULTILINE_STATE
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,17,618977,,,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Rajasthan,2025-08,2025-10,2027-10,,1507.0,1507.0,10.05,1.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,18,701127,,,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Rajasthan,2022-05,2023-04,2024-11,2026-01,480.0,480.0,330.65,93.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,19,701128,,,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Rajasthan,2023-06,2023-11,2026-03,2026-09,887.0,887.0,462.38,57.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,20,612793,,,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Sikkim,2023-11,2023-12,2026-02,,323.26,323.26,51.21,22.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,21,611602,,,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Tamil Nadu,2018-05,2023-06,2025-07,2026-06,1207.0,1207.0,208.06,27.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,22,701113,,,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Uttar Pradesh,2024-07,2024-07,2027-07,2027-07,2869.65,2869.65,410.36,21.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,23,701122,,,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Uttar Pradesh,2024-06,2024-07,2026-07,,579.0,579.0,133.8,28.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,24,611495,,,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,West Bengal,2024-08,2024-09,2027-01,2027-01,1549.0,1549.0,359.56,16.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,25,612791,,,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,West Bengal,2023-04,2023-12,2025-02,2026-08,328.3,328.3,109.99,49.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,26,615820,,,TIKAK EXTENSION OCP,MIS MoCoal Integration Logins,Coal,Assam,2022-07,2022-07,2031-07,,159.77,159.77,81.47,88.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,27,615821,,,TIRAP OCP,MIS MoCoal Integration Logins,Coal,Assam,2022-11,2022-11,2030-11,,289.46,289.46,105.61,3.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,28,400144,,,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2020-12,2020-12,2029-03,,2310.12,2310.12,91.43,10.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,29,400149,,,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2020-08,2020-08,2029-03,,2309.8,2309.8,956.88,50.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,30,400354,,,DIPKA EXPANSION OCP [40 MTY],South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2020-12,2020-12,2029-03,,5241.4,5241.4,2862.43,37.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,31,400424,,,GEVRA OC [70 MTY],South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2016-03,2016-03,2023-03,2027-03,11816.4,11816.4,6813.01,78.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,32,613798,,,AMERA OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2015-02,2015-02,2026-03,,335.97,335.97,88.28,42.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,33,613799,,,AMGAON OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2015-07,2015-07,2026-03,,316.11,316.11,188.72,78.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,34,613800,,,JAGANNATHPUR OC RCE PROJECT,South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2016-07,2016-07,2025-03,2026-03,459.49,459.49,274.35,96.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,35,613801,,,MAHAMAYA OCP [1.50 MTY],South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2018-05,2018-05,2026-03,2028-03,410.26,410.26,183.37,54.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,36,615191,,,KATKONA RO UG MINE,South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2023-01,2023-01,2029-03,,329.21,329.21,61.34,2.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,37,616234,,,PELMA OC MDO,South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2022-10,2022-10,2033-03,,1725.04,1725.04,15.66,40.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,38,617287,,,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,Coal,Chhattisgarh,2024-11,2024-11,2030-03,,4516.88,4516.88,783.28,21.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,39,617288,,,MANIKPUR OC EXPANSION PROJECT,South Eastern Coalfields Limited [SECL],Coal,Chhattisgarh,2025-01,2025-01,2029-03,,382.61,382.61,113.03,21.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,40,400018,,,HURA C OCP,ECL - CIL,Coal,Jharkhand,2022-08,2022-08,2029-03,,859.41,859.41,453.0,62.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,41,400073,,,KONAR EXPANSION OCP,Ministry of Coal,Coal,Jharkhand,2022-01,2022-01,2032-03,,799.34,799.34,429.33,45.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,42,400074,,,KARO EXPANSION OCP,Ministry of Coal,Coal,Jharkhand,2022-01,2022-01,2029-03,,908.47,908.47,269.26,22.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,43,400136,,,SANGHMITRA OC,Ministry of Coal,Coal,Jharkhand,2024-03,2024-03,2032-03,,2660.0,2660.0,6.61,16.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,44,400138,,,CHANDRAGUPT OCP,Ministry of Coal,Coal,Jharkhand,2020-08,2020-08,2032-03,,973.5,973.5,440.75,24.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,45,400139,,,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,Coal,Jharkhand,2020-08,2020-08,2032-03,,861.06,625.4,455.95,42.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,46,400142,,,Pachwara South Coal Block,NLC India Limited [NLCIL],Coal,Jharkhand,2016-03,2019-11,2028-09,,2242.9,2242.9,1253.92,74.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,47,400150,,,RPR MAGADH EXP OCP,Ministry of Coal,Coal,Jharkhand,2020-08,2020-08,2028-03,,7254.37,7254.37,1599.39,38.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,48,400151,,,NORTH URIMARI EXPANSION OCP,Ministry of Coal,Coal,Jharkhand,2021-07,2021-07,2029-03,,778.8,778.8,696.05,68.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,49,400153,,,EPR ROHINI - KARKETTA OCP,Ministry of Coal,Coal,Jharkhand,2021-01,2021-01,2028-03,,1020.42,1020.42,84.74,21.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,50,400154,,,EPR PUNDI OCP,Ministry of Coal,Coal,Jharkhand,2020-11,2020-11,2027-03,,713.35,713.35,236.58,10.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,51,400155,,,EPR ASHOK OC,Ministry of Coal,Coal,Jharkhand,2021-05,2021-05,2031-03,,2898.28,2898.28,185.04,24.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,52,400156,,,EPR AMRAPALI OCP,Ministry of Coal,Coal,Jharkhand,2020-02,2020-02,2028-03,,5136.15,5136.15,1257.44,42.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,53,400160,,,RAJRAPPA RCE OCP,Ministry of Coal,Coal,Jharkhand,2009-12,2009-12,2016-03,2027-03,510.85,510.85,488.69,76.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,51,54,400172,,,CHITRA EAST OC,Eastern Coal Fields Limited [ECL],Coal,Jharkhand,2018-08,2018-08,2026-03,2028-03,513.99,513.99,230.87,51.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,55,400352,,,JHARKHAND-LAIYO OCP,Ministry of Coal,Coal,Jharkhand,2020-08,2020-08,2031-03,,764.57,764.57,145.81,29.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,56,400425,,,MOONIDIH XV SEAM UG,Ministry of Coal,Coal,Jharkhand,2011-08,2011-08,2019-03,2026-05,1230.27,1230.27,635.78,82.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,57,611017,,,2.5 MTPA PATHERDIH NLW WASHERY,Ministry of Coal,Coal,Jharkhand,2015-10,2016-04,2018-04,2026-03,334.27,334.27,151.09,49.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,58,611864,,,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Ministry of Coal,Coal,Jharkhand,2023-01,2023-01,2030-03,,4011.85,4011.85,414.41,28.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,59,613808,,,MURAIDIH UG PROJECT,Ministry of Coal,Coal,Jharkhand,2011-02,2011-02,2014-04,2026-12,339.87,339.87,191.0,70.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,60,615349,,,TAPIN SOUTH EXPN,Ministry of Coal,Coal,Jharkhand,2020-11,2020-11,2028-03,,230.41,230.41,22.02,21.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,61,615822,,,SIRKA OC,Ministry of Coal,Coal,Jharkhand,2020-05,2020-05,2028-03,,222.82,222.82,140.58,53.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,62,615843,,,TETARIAKHAR OC,Ministry of Coal,Coal,Jharkhand,2019-11,2019-11,2025-03,2027-03,243.52,243.52,49.54,29.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,63,616225,,,CHUPERBHITA SIMLONG OCP MDO 6,Eastern Coal Fields Limited [ECL],Coal,Jharkhand,2023-12,2023-12,2037-03,,979.08,979.08,0.0,0.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,64,616236,,,JARANGDIH EXPN. OCP 1.5 MTY,CCL - CIL,Coal,Jharkhand,2020-02,2020-02,2029-03,,414.37,414.37,85.6,33.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,65,616253,,,BLOCK E OCP,Ministry of Coal,Coal,Jharkhand,2024-03,2024-03,2029-03,,5850.83,5850.83,20.32,3.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,66,617416,,,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",BCCL,Coal,Jharkhand,2025-06,2025-07,2028-12,,5940.47,5940.47,26.31,19.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,67,400148,,,AMADAND OCP[4.0MTY],Ministry of Coal,Coal,Madhya Pradesh,2016-03,2016-03,2021-03,2027-03,869.44,869.44,278.78,75.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,68,400152,,,RAMPUR BATURA OCP [4.0MTY],South Eastern Coalfields Limited [SECL],Coal,Madhya Pradesh,2019-07,2019-07,2026-03,,1248.93,1248.93,498.6,44.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,69,400162,,,BLOCK B EXPANSION [3.5 TO 8.0,Northern Coalfields Limited [NCL],Coal,Madhya Pradesh,2019-07,2019-07,2023-03,2027-03,998.71,998.71,488.66,48.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,70,400321,,,NIGAHI EXPANSION [15 TO 25 MTP,Northern Coalfields Limited [NCL],Coal,Madhya Pradesh,2020-11,2020-11,2025-03,2028-03,1729.68,1729.68,859.8,48.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,71,613802,,,KANCHAN OC EXP,South Eastern Coalfields Limited [SECL],Coal,Madhya Pradesh,2014-12,2014-12,2026-03,2028-03,371.04,371.04,144.61,58.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,72,613803,,,JHIRIA WEST OCP [1.5 MTY],South Eastern Coalfields Limited [SECL],Coal,Madhya Pradesh,2024-01,2024-01,2029-03,,366.94,366.94,34.12,41.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,73,613804,,,RPR TAWA-III UG 0.84 MTY,Western Coalfields Limited [WCL],Coal,Madhya Pradesh,2021-12,2021-12,2027-03,,314.09,314.09,6.08,17.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,74,615185,,,AMALGAMATED DHANKASA & JAMUNIA,Western Coalfields Limited [WCL],Coal,Madhya Pradesh,2022-09,2022-09,2027-03,,399.2,399.2,96.21,66.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,75,615187,,,RPR OF VISHNUPURI UG TO OC,Western Coalfields Limited [WCL],Coal,Madhya Pradesh,2022-11,2022-11,2029-03,,220.62,220.62,0.0,11.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,52,76,615194,,,URDHAN EXPANSION OC COST PLUS,Western Coalfields Limited [WCL],Coal,Madhya Pradesh,2022-07,2023-01,2031-03,,206.88,206.88,27.19,0.0,NO_LEGACY_CODE;NO_PMGID
